Codigo,Descrição,Data,Quantidade,Valor,Setor
31_000021024,INSERTO TNGX 110308S-01020-WZ CBN010,2025-01-03 15:50:33,2.0,1134.04,161
31_000028718,"BRUNIDOR 3,5x8,65x30 S AB N60202",2025-01-03 18:26:00,8.0,622.32,157
31_000025893,DRESSADOR CONGLOM. RED12x8 HASTEØ11 1820,2025-01-03 18:37:37,2.0,598.52,173
31_000012717,INSERTO TCMT 110204-SM IC908,2025-01-03 18:49:29,1.0,20.4,126
31_000023054,INSERTO CCMT 09T304-MM MC7025,2025-01-03 18:49:29,3.0,35.88,126
31_000010759,INSERTO VNMG 12T308-NF IC907,2025-01-03 18:51:07,1.0,34.96,155
31_000003045,INSERTO TNMG 160404-SA UE 6105,2025-01-03 18:51:07,1.0,15.44,155
31_000008769,INSERTO VNMG 12T304-NF IC907,2025-01-03 18:51:07,1.0,37.14,155
31_000008851,PARAFUSO SR 14-551 P/CALÇO SVJNL-11,2025-01-03 18:51:07,1.0,21.97,155
31_000022901,INSERTO TNMG 160412-SA UE6105,2025-01-03 18:51:07,1.0,14.5,155
31_000016858,INSERTO ICP 084  IC908,2025-01-03 18:59:32,1.0,174.74,172
31_000021024-R,INSERTO TNGX 11030 CBN060 (21024-AFIADA),2025-01-03 20:15:29,4.0,-0.0,133
31_000027975,INSERTO WNMG 080408 MW UC5105,2025-01-03 20:29:19,8.0,166.72,148
31_000006170,INSERTO TPGX 110308-HTI05T,2025-01-03 20:29:19,3.0,50.07,148
31_000028264,INSERTO TNMG 160408 PQ CCX,2025-01-03 20:29:19,6.0,113.64,148
31_000006000,INSERTO DNMG 150604-LP MC6015,2025-01-03 20:47:23,1.0,28.54,133
31_000025402,INSERTO TNMG 160408 MP MC6015,2025-01-03 20:56:26,6.0,86.82,133
31_000008767,INSERTO WNMG 06T308 MP MC6015,2025-01-03 20:56:26,6.0,64.8,133
31_000025924,INSERTO DNMG 130504 MT TT8125B,2025-01-03 20:56:26,2.0,69.76,133
31_000028636,INSERTO SOMX094506-UM VP15TF,2025-01-03 20:56:26,3.0,88.02,133
31_000025808,INSERTO WNMG 06T304-MS US7020,2025-01-03 20:56:26,2.0,20.94,133
31_000023789,INSERTO GY2M0400G080N-MM VP20RT,2025-01-03 22:48:34,2.0,72.4,156
31_000013246,INSERTO TNMG 160408 MA UE6020,2025-01-03 22:54:31,5.0,77.4,131
31_000013248,INSERTO TPMH 080204 MV UE6020,2025-01-03 22:54:31,3.0,31.77,131
31_000028142,INSERTO CCMT 09T304-LS MP 9015,2025-01-03 22:54:31,6.0,72.54,131
31_000000375,PARAFUSO 5513.020.01,2025-01-04 01:41:23,1.0,7.99,173
31_000021024-R,INSERTO TNGX 11030 CBN060 (21024-AFIADA),2025-01-04 04:13:11,4.0,-0.0,133
31_000021024,INSERTO TNGX 110308S-01020-WZ CBN010,2025-01-04 04:21:50,2.0,1134.04,161
31_000005305,INSERTO VCMT 160408-SM IC907 - ISCAR,2025-01-04 04:29:21,10.0,358.8,173
31_000027591,INSERTO TNMG 160412 RS MP9015,2025-01-04 04:29:21,10.0,147.6,173
31_000001948,CHAVE TORX T-15 5680.049-01,2025-01-04 04:30:53,2.0,33.3,161
31_000028555,INSERTO TNMG 160412 UR YG3020 (YG1),2025-01-04 04:33:31,5.0,140.4,129
31_000025838,INSERTO HNMG 050408-GU TT7015,2025-01-04 04:33:31,1.0,39.64,129
31_000026158,INSERTO CCMT 060204 WP PV720,2025-01-04 04:33:31,1.0,16.29,129
31_000008767,INSERTO WNMG 06T308 MP MC6015,2025-01-04 04:33:31,4.0,43.2,129
31_000025808,INSERTO WNMG 06T304-MS US7020,2025-01-04 04:33:31,1.0,10.47,129
31_000001096,LIXA D'AGUA 220,2025-01-04 04:52:04,6.0,13.44,161
31_000010508,"BRUNIDOR SINT.3,5x8,65x29,9x2 MAB G 053",2025-01-04 05:01:28,8.0,644.8,137
31_000028905,INSERTO CCMT09T308N SU AC8025P,2025-01-04 05:29:59,4.0,69.56,131
31_000028142,INSERTO CCMT 09T304-LS MP 9015,2025-01-04 05:29:59,4.0,48.36,131
31_000024583,"BROCA CALIB MD D4,1xD4,20x62 88424001-T5",2025-01-04 05:53:39,1.0,136.94,126
31_000016111,INSERTO CCMT 060204-PF GH730 TUNGALOY,2025-01-04 06:09:41,1.0,22.91,131
31_000001895,PORTA FERR.S12M SCLCR-06,2025-01-04 06:09:41,1.0,426.56,131
31_000014802-R,FRESA FTR MD 2C 7226-6 Ø5 (14802-AFIADA),2025-01-04 06:34:45,1.0,-0.0,471
31_000001837,"REBOLO P.M 25x38 DR-30 C221 haste40x6,35",2025-01-04 07:01:24,4.0,24.88,114
31_000002995,"REBOLO P.M 13x25 DR30 C187 haste 40x6,35",2025-01-04 07:01:24,4.0,25.2,114
31_000027604,"INSERTO TCD 114 P TT 9080 Ø 11,4",2025-01-04 07:20:45,1.0,215.81,131
31_000027603,"BROCA TCD 110 - 114 16T3 - 3D Ø 11,4",2025-01-04 07:20:45,1.0,725.0,131
31_000026158,INSERTO CCMT 060204 WP PV720,2025-01-04 08:07:28,4.0,65.16,127
31_000028905,INSERTO CCMT09T308N SU AC8025P,2025-01-04 08:07:28,3.0,52.17,127
31_000023736,INSERTO WNMG 080408-MA MC6015,2025-01-04 08:07:28,3.0,62.25,127
31_000028264,INSERTO TNMG 160408 PQ CCX,2025-01-04 10:44:59,2.0,37.88,148
31_000027975,INSERTO WNMG 080408 MW UC5105,2025-01-04 10:44:59,4.0,83.36,148
31_000006170,INSERTO TPGX 110308-HTI05T,2025-01-04 10:44:59,2.0,33.38,148
